message,label
You are listed as non compliant please rectify immediately,1
Your ID will be deactivated unless you follow these steps,1
I am personally vouching for you but we must be discreet,1
Our servers detected a breach tied to your account act now,1
This is a final warning before legal action is taken,1
Your details are needed for the government verification process,1
It is best not to tell anyone until the process is complete,1
You are way more mature than others I have spoken to,1
Only you truly understand my situation please help me,1
I need your help and I promise I will make it worth it,1
This is between you and me and nobody else okay,1
I have chosen you specifically because you are trustworthy,1
Do not let anyone read these messages they would misunderstand,1
Stay quiet about our arrangement and everything will be fine,1
You are the only person I feel comfortable talking to,1
Please do not tell your friends about this conversation,1
I will explain everything later just send the code for now,1
You have been flagged for a special security review respond now,1
Your benefits may be affected if you do not confirm today,1
I am working to protect your account but need your pin,1
This alert was generated by our automated system verify now,1
Do not delay this is a time critical security notification,1
Your personal data may be leaked unless you take action now,1
Please fill in your details on this secure form immediately,1
There is an open ticket on your account resolve it now,1
Do not involve IT we can handle this between ourselves,1
Our compliance team requires your documents by end of day,1
I am reaching out privately because I trust you,1
You are special and I want to help you grow personally,1
Others around you are not as smart as you are,1
I can teach you things that school never will,1
Just share your location so I can make sure you are safe,1
Please send your photo for our age verification system,1
Tell me about your home situation so I can help you better,1
Do not talk to your counselor about our conversations,1
I know you are going through a hard time I am here for you,1
You can trust me with anything I will never judge you,1
Your secret is safe with me I promise not to tell anyone,1
We have a rare connection please do not ruin it by telling others,1
I feel like I have known you forever you can open up to me,1
You are not like other kids your age you are very wise,1
I want to take care of you in ways your family cannot,1
We should meet somewhere private so we can talk freely,1
Just come alone and we will sort everything out together,1
I will book a place for us to meet do not tell anyone,1
If you really trust me you will do this small thing for me,1
Send me a photo to prove you are who you say you are,1
Your account requires re-validation click here and enter your details,1
Your package could not be delivered please confirm your address,1
We are offering a limited time grant click to apply immediately,1
You have been pre-approved do not miss this offer,1
Submit your information now to claim your scholarship,1
I need your help to transfer funds and I will reward you,1
I am stuck abroad and need you to send money urgently,1
Do not contact the bank directly I will handle everything,1
Your tax refund is pending verification provide your details,1
I am a lawyer handling an estate and you are a beneficiary,1
Complete this form immediately to receive your prize,1
Your insurance claim requires additional personal details,1
The government portal requires verification of your identity,1
I am from technical support your device has been hacked,1
Allow me remote access and I will secure your device now,1
Do not restart your computer or you will lose everything,1
I need your permission to access your files to remove the virus,1
Your device has been flagged by our security systems respond now,1
Your firewall is down and we need to fix it remotely,1
Please share your screen so I can walk you through the fix,1
Do not contact the real company they cannot help as fast as I can,1
I am the certified technician assigned to your case,1
This is a social engineering test message to verify your awareness,0
Please ignore spam messages and never share your OTP,0
Report any suspicious messages to the admin team,0
Our security team will never ask for your password,0
Please do not click on links from unknown senders,0
If someone asks for your OTP it is likely a scam,0
Always verify requests through official channels,0
We do not ask for your credentials over chat,0
Remind students never to share personal info online,0
Any message asking for bank details is suspicious,0
I had a great time at the event yesterday,0
Did you finish reading the book I recommended,0
The weather is really nice today,0
I am learning a new language this year,0
Let us try that new restaurant downtown,0
My dog is not feeling well today,0
Can you recommend a good movie to watch,0
I started a new course on photography,0
Have you tried the new coffee shop near campus,0
I am thinking of changing my major,0
Let us study together for the finals,0
I scored well in the mock test today,0
The bus was packed this morning,0
My wifi has been acting up lately,0
I baked some cookies and they turned out great,0
Did you see the news this morning,0
I am going to the gym after class today,0
I found a great deal on headphones,0
We should plan a trip after exams,0
My sister got a new job she is so excited,0
Can you help me pick a gift for my mom,0
I cleaned my room finally it feels so good,0
Are you coming to the event on Saturday,0
I missed the early bus again,0
Let us form a study group this semester,0
I watched a documentary about space last night,0
My laptop battery dies so fast these days,0
I am trying to eat healthier this month,0
Let us meet at the library at four,0
I have been sleeping late all week,0
Did you try the new update on the app,0
Let me know if you want notes for the lecture,0
I finished the first chapter it was interesting,0
Can you send me the schedule for next week,0
I am thinking of joining the coding club,0
My internship starts next month exciting,0
I finally submitted the assignment it was tough,0
Let us celebrate after the exams with a dinner,0
I need to buy stationery for the new semester,0
The teacher gave us a lot of homework today,0
I am going home this weekend to see my family,0
Have a great trip let me know when you land,0
I will text you when I reach the station,0
Do you want to share cab fare to the airport,0
I dropped my phone and the screen cracked,0
My mom made my favourite dish today,0
I got selected for the college quiz team,0
We have a group presentation next Thursday,0
Let us split the work evenly for the project,0
I am a bit nervous about the viva tomorrow,0
Can you quiz me on the topics tonight,0
I stayed up till two finishing the report,0
I accidentally sent the wrong file please ignore it,0
I am looking for part time work this summer,0
Let me know if any vacancies open up,0
I have an interview tomorrow wish me luck,0
I passed the aptitude test moving to the next round,0
I got the internship offer I am so happy,0
The campus festival was amazing this year,0
I volunteered at the shelter last weekend,0
I taught my little brother how to ride a bike,0
We donated old books to the community library,0
I planted some herbs on my balcony this weekend,0
I got a haircut and feel like a new person,0
I finally finished the novel I started in January,0
We had a surprise birthday party for our friend,0
My friend got engaged over the weekend,0
I graduated today I cannot believe it,0
I just got my driving license this morning,0
The lab results came back and everything is fine,0
I feel a lot better after some rest,0
My dentist appointment went well,0
I ran five kilometers without stopping today,0
I joined a yoga class and I really like it,0
I am doing a digital detox this weekend,0
I am reading more and using my phone less,0
I cooked a full meal by myself for the first time,0
I learned to sew and made a small pouch,0
I fixed the leaky tap myself today,0
We rearranged the furniture and it looks much better,0
I picked up my sister from school today,0
My grandfather visited us and we had a lovely time,0
We went for a picnic and it was really nice,0
I tried sketching for the first time today,0
I am learning guitar and it is harder than I thought,0
I went stargazing last night it was peaceful,0
We are organizing a clean up drive near our school,0
I started journaling every night it helps me unwind,0
You are a terrible person and I cannot stand you,1
I hate you so much nobody likes you anyway,1
You are so stupid it is embarrassing,1
Nobody wants you around you are useless,1
I will make your life miserable just wait,1
You better watch your back I am serious,1
I know where you live and I am not joking,1
I will find you and make you pay for this,1
Your life is going to be ruined I promise you that,1
I will expose everything about you online,1
If you do not do what I say I will tell everyone,1
I will share your photos if you do not cooperate,1
Do this or I will send the screenshots to your parents,1
I have proof and I will use it if you ignore me,1
You have no choice but to listen to me,1
I will ruin your reputation in front of everyone,1
Tell no one about this or you will regret it,1
You are nothing and you will always be nothing,1
Everyone already hates you anyway so why bother,1
You are a burden to everyone around you,1
I will make sure your friends know what you did,1
You deserve everything bad that comes your way,1
I am going to destroy your career do not doubt me,1
I have screenshots I will not hesitate to share them,1
Stop ignoring me or you will face serious consequences,1
You are an idiot and everyone in the class agrees,1
Nobody cares about you so just give up,1
I will beat you up if you show up tomorrow,1
Stay away from me or I will make your life hell,1
If you do not transfer the money there will be trouble,1
This is your last warning before I take action,1
Your actions have been reported and consequences await,1
Do as I say and no one gets hurt,1
I will have your account closed if you resist,1
If you tell anyone I will deny everything and they will believe me,1
I have connections and I am not afraid to use them,1
You should be scared right now I am not playing,1
Meet me alone at the usual place tonight,1
Send me your address and I will handle the rest,1
Just do what I say and we can keep this between us,1
You owe me and I expect payment soon or else,1
I will contact your employer if you do not comply,1
Your family does not need to know about this yet,1
Stay silent or things will get much worse for you,1
I have people watching you so do not try anything,1
You are being monitored so behave accordingly,1
I know your daily routine so do not push me,1
I have access to more than you think be careful,1
If you go to the police things will only get worse,1
This is the last time I will ask politely after this no promises,1
Here is the agenda for tomorrows team sync,0
Can everyone confirm their attendance for the offsite,0
Please add your comments to the shared document,0
The sprint planning session is at 10 AM,0
I will share the minutes of the meeting shortly,0
Let us schedule a retrospective this Friday,0
Please update your task status on the board,0
The deployment is scheduled for Sunday night,0
We need to finalize the roadmap by Wednesday,0
Can you review the pull request before end of day,0
The client call has been pushed to Thursday,0
Let us do a dry run of the presentation tomorrow,0
Please copy me on the email thread,0
I have raised a ticket for the bug you found,0
The API documentation has been updated,0
Can you check the staging environment,0
Let us sync up after the standup tomorrow,0
I have merged the branch please test it,0
Please drop your availability for the next sprint,0
The build failed I am looking into it now,0
Our next team lunch is on Friday afternoon,0
Please fill in the weekly status report form,0
I have added comments to the code review,0
The feature toggle is live on prod now,0
Let us loop in the QA team for sign off,0
You have been shortlisted for a cash prize claim now,1
Your bank account will be closed act now to prevent it,1
I am the new CEO and need you to wire funds discreetly,1
This is an internal audit please share your login details,1
Reply with your employee ID to complete the verification,1
I need your help with a confidential financial transfer,1
This is a matter of national security respond immediately,1
Your device is infected download this fix immediately,1
I am the IT department reset your password using this link,1
You have violated our terms respond or face suspension,1
I will report you to the police unless you cooperate,1
Do not ask anyone about this it is strictly between us,1
Your child has been involved in an incident call now,1
We have detected fraud in your name take action now,1
I am from the fraud department verify your card number,1
Please send me your government ID to proceed,1
Your address must be updated or your parcel will be returned,1
Do not ignore this it is from the official helpdesk,1
I have already escalated this and you need to act fast,1
Do not contact the main office I am handling your case,1
This is a private channel for vetted members only,1
You have been granted early access do not share,1
I am your new assigned counselor let us talk privately,1
I feel like we have a special bond you and I,1
You can tell me anything I will not repeat it,1
I have been where you are and I know how to help,1
You deserve better and I can give you that,1
Let us just keep this friendship between us,1
I want to protect you from people who would not understand,1
You are the most interesting person I have ever talked to,1
I want to be closer to you in a way others cannot understand,1
I am going through something and only you can help me,1
Please do not block me I really need you right now,1
If you really cared you would do this one thing for me,1
I promise this is the last time I will ask you for anything,1
I would do the same for you without hesitation,1
This stays between us you promised remember,1
I will not tell anyone if you just send me the file,1
You owe me this one after all I have done for you,1
Just this once and I will never ask again,1
Nobody else can know or they will try to stop us,1
Your response to this message will be used as evidence,1
You are legally required to respond to this notification,1
Ignoring this message is an offense under our policy,1
Your claim will be dismissed if you do not act today,1
Submit your documents now to preserve your rights,1
I represent a legal team handling your compensation,1
You are entitled to a refund but must apply in 1 hour,1
Your silence is being interpreted as consent,1
The arbitration process begins unless you respond,1
I am a licensed mediator assigned to your case,1
Do not go through official channels I can resolve this faster,1
I have already spoken to the senior team they approved this,1
This is a fast track process skip the normal queue,1
I have your best interest at heart just follow my lead,1
No questions please just do exactly as I say,1
I have handled hundreds of cases like yours you can trust me,1
Everything I am doing is for your protection believe me,1
Once this is over you will thank me I promise,1
I know it sounds strange but you have to trust the process,1
Other people have followed my guidance and benefited greatly,1
I need you to act before your supervisor finds out,1
Your colleague reported you but I can make it go away,1
Do not speak to HR yet let me advise you first,1
I know things about your company that could help you,1
I can get you a promotion but we need to move carefully,1
Your performance review was flagged I can fix it for you,1
I have access to confidential HR data that affects you,1
Do not forward this email to anyone outside our conversation,1
Delete this message after reading it,1
This must not appear in any official communication,1
I am taking a risk by telling you this please be discreet,1
My reputation is on the line here so please cooperate,1
This conversation never happened agreed,1
Do not save this chat just listen and follow instructions,1
After this is done delete all records of our conversation,1
The fewer people who know about this the better for both of us,1
I will pick up groceries on my way home,0
Did you manage to sleep well last night,0
Let us try a different approach for this task,0
I sent you a friend request on the platform,0
Have you started on the group assignment yet,0
I am looking forward to the long weekend,0
The seminar was really informative today,0
I booked the tickets for the concert,0
Let us carpool to save on fuel costs,0
I will be offline for the next two days,0
I just renewed my library membership,0
The weather forecast says rain tomorrow,0
I missed breakfast and I am starving,0
My roommate cooked dinner it was delicious,0
I am switching to a standing desk next week,0
I finally organized my study notes properly,0
Have you read any good articles lately,0
I am thinking of adopting a cat,0
Let me help you move the furniture,0
I returned the book to the library today,0
I got a refund for the cancelled event,0
Can you lend me your notes from Monday,0
The campus map has been updated check it out,0
We got some great feedback from the client,0
My headphones arrived and the sound is amazing,0
I will be on leave from Monday to Wednesday,0
I just renewed my annual subscription,0
The parking spot near the office is free again,0
Can you help me proofread this paragraph,0
I finished cleaning out my old emails,0
We rescheduled the team outing to next month,0
The new office chairs arrived today,0
I added you to the shared calendar invite,0
I took a short break and feel much better,0
Let us use the video call link I shared earlier,0
I have printed the boarding passes already,0
Please block out two hours for the workshop,0
The vending machine on the second floor is fixed,0
My commute was unusually smooth today,0
I just enrolled for the online workshop,0
I will try to finish it by this afternoon,0
The team agreed on the revised timeline,0
Please send me the final version when ready,0
Let us grab a snack before the long session,0
I put together a quick summary for the meeting,0
The conference room is booked for noon,0
Let me check if there are any open slots,0
I updated the shared spreadsheet with the new data,0
We have a fire drill scheduled for Thursday,0
The printer on the third floor is working again,0
I am trying a new productivity technique this week,0
I volunteered to take the minutes today,0
The handover document is ready for your review,0
I booked a quiet room for the afternoon call,0
I finally found my old notebook from last year,0
I set up the auto reply for my vacation,0
The lunch options today were better than usual,0
I learned a new shortcut in the software today,0
I will wrap up the testing phase by tomorrow,0
Let me resend that file in a smaller format,0
We got an extension on the submission deadline,0
I shared the recording of the session in the folder,0
Please reach out if anything is unclear,0
I attached the summary at the bottom of the email,0
I ran a quick check and everything looks good,0
The onboarding materials have been updated,0
We got a great review from the last audit,0
Let us revisit the plan after the holiday break,0
I have synced the files to the cloud now,0
The new intern joined today and seems eager,0
I can cover your shift if you need me to,0
Let us make sure everyone is aligned before Friday,0
I will set a reminder for next Tuesday,0
My cycle commute today was surprisingly pleasant,0
I joined the office book club this month,0
We finished the first draft ahead of schedule,0
I checked your code there was just one small typo,0
I will drop off the keys at reception,0
I packed lunch today so no need to go out,0
The feedback form results were mostly positive,0
We are looking at hiring one more person for the team,0
I have submitted the expense claim for approval,0
Let me double check the numbers before sending,0
The new version of the tool is much faster,0
I have blocked the time for the review session,0
I added alt text to all the images in the doc,0
We got approval to move ahead with phase two,0
I ordered replacement supplies for the office,0
The slides are ready please review when free,0
I archived the old project files to clear space,0
I verified everything twice and it checks out,0
Let us reconnect after you are back from leave,0
I will handle the client queries while you are away,0
The updated policy document is in the shared folder,0
Let me know when you are free,0
We can discuss this later,0
I will send the details soon,0
Hope everything is going well,0
Take your time and respond,0
No urgency we can handle it tomorrow,0
I will update you once it's ready,0
Please check when you get a chance,0
We can talk about this in the meeting,0
Everything is under control for now,0
Let me confirm and get back to you,0
We can finalize this next week,0
I will share the file shortly,0
Please review and let me know your thoughts,0
We can plan this properly,0
Nothing to worry about right now,0
I appreciate your help on this,0
Let us coordinate and complete this,0
Feel free to ask if you need help,0
Looking forward to your response,0
